Trims,Price,Transmission,Horsepower,Torque,Engine liters,Cylinder configuration,Drivetrain,Combined MPG,Fuel economy city,Fuel economy highway,Recommended fuel,Fuel tank capacity,Front tires,Curb weight,Basic warranty (months/miles),Powertrain warranty (months/miles)
3.0T Premium,$52400,8-speed automatic w/OD and auto-manual,349-hp @ 5400 rpm,369 lbs.-ft. @ 1370 rpm,3.0,V-6,no info,24,21 mpg,30 mpg,premium unleaded,15.3 gal.,245/40R18,3847 lbs.,48/50000,48/50000
3.0T Premium Plus,$52400,8-speed automatic w/OD and auto-manual,349-hp @ 5400 rpm,369 lbs.-ft. @ 1370 rpm,3.0,V-6,no info,24,21 mpg,29 mpg,premium unleaded,15.3 gal.,245/40R18,4211 lbs.,48/50000,48/50000
