Trims,Price,Transmission,Horsepower,Torque,Engine liters,Cylinder configuration,Drivetrain,Combined MPG,Fuel economy city,Fuel economy highway,Recommended fuel,Fuel tank capacity,Front tires,Curb weight,Basic warranty (months/miles),Powertrain warranty (months/miles)
i,$54000,8-speed automatic w/OD and auto-manual,382-hp @ 5000 rpm,369 lbs.-ft. @ 1600 rpm,3.0,I-6,RWD,25,22 mpg,30 mpg,premium unleaded,15.6 gal.,225/45R18,3849 lbs.,48/50000,48/50000
i xDrive,$54000,8-speed automatic w/OD and auto-manual,382-hp @ 5000 rpm,369 lbs.-ft. @ 1600 rpm,3.0,I-6,no info,25,22 mpg,30 mpg,premium unleaded,15.6 gal.,225/45R18,3968 lbs.,48/50000,48/50000
