Trims,Price,Transmission,Horsepower,Torque,Engine liters,Cylinder configuration,Drivetrain,Combined MPG,Fuel economy city,Fuel economy highway,Recommended fuel,Fuel tank capacity,Front tires,Curb weight,Basic warranty (months/miles),Powertrain warranty (months/miles)
LX,$23720,2-speed CVT w/OD,192-hp @ 5500 rpm,192 lbs.-ft. @ 1600 rpm,1.5,I-4,Front-wheel Drive,33,30 mpg,38 mpg,regular unleaded,14.8 gal.,225/50R17,3131 lbs.,36/36000,60/60000
Sport,$26180,2-speed CVT w/OD and auto-manual,192-hp @ 5500 rpm,192 lbs.-ft. @ 1600 rpm,1.5,I-4,Front-wheel Drive,33,26 mpg,35 mpg,regular unleaded,14.8 gal.,235/40R19,3155 lbs.,36/36000,60/60000
EX,$27620,2-speed CVT w/OD,192-hp @ 5500 rpm,192 lbs.-ft. @ 1600 rpm,1.5,I-4,Front-wheel Drive,33,30 mpg,38 mpg,regular unleaded,14.8 gal.,225/50R17,3199 lbs.,36/36000,60/60000
EX-L,$30120,2-speed CVT w/OD,192-hp @ 5500 rpm,192 lbs.-ft. @ 1600 rpm,1.5,I-4,Front-wheel Drive,33,30 mpg,38 mpg,regular unleaded,14.8 gal.,225/50R17,3217 lbs.,36/36000,60/60000
Sport 2.0T,$30710,10-speed automatic w/OD and auto-manual,252-hp @ 6500 rpm,273 lbs.-ft. @ 1500 rpm,2.0,I-4,Front-wheel Drive,33,22 mpg,32 mpg,regular unleaded,14.8 gal.,235/40R19,3298 lbs.,36/36000,60/60000
EX-L 2.0T,$32120,10-speed automatic w/OD and auto-manual,252-hp @ 6500 rpm,273 lbs.-ft. @ 1500 rpm,2.0,I-4,Front-wheel Drive,33,23 mpg,34 mpg,regular unleaded,14.8 gal.,225/50R17,3362 lbs.,36/36000,60/60000
Touring 2.0T,$35950,10-speed automatic w/OD and auto-manual,252-hp @ 6500 rpm,273 lbs.-ft. @ 1500 rpm,2.0,I-4,Front-wheel Drive,33,22 mpg,32 mpg,regular unleaded,14.8 gal.,235/40R19,3428 lbs.,36/36000,60/60000
