Trims,Price,Transmission,Horsepower,Torque,Engine liters,Cylinder configuration,Drivetrain,Combined MPG,Fuel economy city,Fuel economy highway,Recommended fuel,Fuel tank capacity,Front tires,Curb weight,Basic warranty (months/miles),Powertrain warranty (months/miles)
L,$19600,2-speed CVT w/OD and auto-manual,139-hp @ 6100 rpm,126 lbs.-ft. @ 3900 rpm,1.8,I-4,Front-wheel Drive,33,30 mpg,38 mpg,regular unleaded,13.2 gal.,195/65R15,2910 lbs.,36/36000,60/60000
LE,$20050,2-speed CVT w/OD and auto-manual,139-hp @ 6100 rpm,126 lbs.-ft. @ 3900 rpm,1.8,I-4,Front-wheel Drive,33,30 mpg,38 mpg,regular unleaded,13.2 gal.,205/55R16,2955 lbs.,36/36000,60/60000
SE,$22050,10-speed automatic/CVT w/OD and auto-manual,169-hp @ 6600 rpm,151 lbs.-ft. @ 4400 rpm,2.0,I-4,Front-wheel Drive,33,31 mpg,40 mpg,regular unleaded,13.2 gal.,225/40R18,3110 lbs.,36/36000,60/60000
Nightshade,$22750,10-speed automatic/CVT w/OD and auto-manual,169-hp @ 6600 rpm,151 lbs.-ft. @ 4400 rpm,2.0,I-4,Front-wheel Drive,33,31 mpg,40 mpg,regular unleaded,13.2 gal.,225/40R18,3110 lbs.,36/36000,60/60000
XLE,$24050,2-speed CVT w/OD and auto-manual,139-hp @ 6100 rpm,126 lbs.-ft. @ 3900 rpm,1.8,I-4,Front-wheel Drive,33,29 mpg,37 mpg,regular unleaded,13.2 gal.,205/55R16,3045 lbs.,36/36000,60/60000
XSE,$25550,10-speed automatic/CVT w/OD and auto-manual,169-hp @ 6600 rpm,151 lbs.-ft. @ 4400 rpm,2.0,I-4,Front-wheel Drive,33,31 mpg,38 mpg,regular unleaded,13.2 gal.,225/40R18,3150 lbs.,36/36000,60/60000
